record_id,employee_alias,department,input_text,category,source_id,score,status,reviewer_action,audit_timestamp
HR-301,EMP-754,HR,Could improve,Unclear,SRC-5012,0.28,Pending,None,2026-08-16 04:03:18
HR-302,EMP-792,Operations,We need regular team updates,Communication,SRC-7912,0.61,Pending,None,2026-08-15 18:26:18
HR-303,EMP-323,IT,We need regular team updates,Communication,SRC-4257,0.87,Pending,None,2026-09-05 07:19:18
HR-304,EMP-529,IT,Managers should give more feedback,Management,SRC-3615,0.87,Pending,None,2026-08-26 23:44:18
HR-305,EMP-384,IT,Pay should be reviewed regularly,Compensation,SRC-2674,0.64,Pending,None,2026-08-15 21:44:18
HR-306,EMP-467,Customer Support,Managers should give more feedback,Management,SRC-8527,0.8,Pending,None,2026-08-28 17:33:18
HR-307,EMP-180,Marketing,More professional development would help,Career Growth,SRC-6925,0.82,Pending,None,2026-08-14 16:04:18
HR-308,EMP-146,Operations,Managers should give more feedback,Management,SRC-4814,0.93,Pending,None,2026-08-28 19:17:18
HR-309,EMP-384,Sales,Management should listen to employees,Management,SRC-7065,0.74,Pending,None,2026-08-23 15:42:18
HR-310,EMP-818,Operations,Good work should receive more recognition,Recognition,SRC-9751,0.88,Pending,None,2026-08-18 22:34:18
HR-311,EMP-573,Sales,More professional development would help,Career Growth,SRC-4598,0.86,Pending,None,2026-08-14 01:11:18
HR-312,EMP-334,Customer Support,I don't know,Unclear,SRC-7572,0.29,Pending,None,2026-08-21 02:32:18
HR-313,EMP-680,Operations,There should be clearer promotion opportunities,Career Growth,SRC-7482,0.94,Pending,None,2026-09-09 18:15:18
HR-314,EMP-569,IT,Some employees have too much work,Workload,SRC-9830,0.7,Pending,None,2026-09-07 02:37:18
HR-315,EMP-538,Marketing,Too many tasks are assigned at once,Workload,SRC-9348,0.79,Pending,None,2026-08-13 15:33:18
HR-316,EMP-981,HR,We need better workload distribution,Workload,SRC-2040,0.75,Pending,None,2026-09-07 14:58:18
HR-317,EMP-579,Marketing,Employees should be appreciated more,Recognition,SRC-2876,0.86,Pending,None,2026-09-04 22:36:18
HR-318,EMP-868,Finance,Managers should give more feedback,Management,SRC-5808,0.77,Pending,None,2026-09-01 03:41:18
HR-319,EMP-103,Operations,Leadership can improve employee support,Management,SRC-3927,0.79,Pending,None,2026-08-16 08:19:18
HR-320,EMP-991,Operations,More professional development would help,Career Growth,SRC-4258,0.66,Pending,None,2026-08-18 20:33:18
HR-321,EMP-652,Customer Support,We need regular team updates,Communication,SRC-6310,0.79,Pending,None,2026-08-16 14:17:18
HR-322,EMP-471,Customer Support,The workload is too high,Workload,SRC-4946,0.93,Pending,None,2026-08-15 02:07:18
HR-323,EMP-187,Operations,We need regular team updates,Communication,SRC-3060,0.65,Pending,None,2026-09-02 03:14:18
HR-324,EMP-662,IT,Benefits could be improved,Compensation,SRC-7932,0.97,Pending,None,2026-09-05 01:09:18
HR-325,EMP-873,Operations,We need more learning programs,Career Growth,SRC-7537,0.98,Pending,None,2026-09-10 01:56:18
HR-326,EMP-482,Sales,The workplace environment is comfortable,Work Environment,SRC-5061,0.69,Pending,None,2026-08-26 21:22:18
HR-327,EMP-121,Marketing,Good work should receive more recognition,Recognition,SRC-1117,0.63,Pending,None,2026-09-09 05:25:18
HR-328,EMP-160,IT,Things could be better,Unclear,SRC-6413,0.22,Pending,None,2026-08-22 08:03:18
HR-329,EMP-385,Operations,Good work should receive more recognition,Recognition,SRC-8744,0.69,Pending,None,2026-09-02 00:42:18
HR-330,EMP-926,Sales,There should be better communication between departments,Communication,SRC-6804,0.76,Pending,None,2026-09-01 18:12:18
HR-331,EMP-984,Operations,Not sure about this,Unclear,SRC-1993,0.34,Pending,None,2026-08-26 22:42:18
HR-332,EMP-919,Customer Support,Need improvement,Unclear,SRC-4116,0.39,Pending,None,2026-08-17 21:12:18
